id,text,Task A,Task B
5280,"Che città demmerda è diventata Casteddu Cagliari, pestato e investito con l'auto perché gay: la violenza a Sant'Elia [URL]",0,
5281,@user_abcdefg ARRIVABENE è un culattone raccomandato.,1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""culattone"" in modo denigratorio per riferirsi a una persona, esprimendo disprezzo verso l'orientamento sessuale."
5282,"La @user_abcde @user è in mano a #CeferinOut e tiene COMPORTAMENTI PALESEMENTE PARZIALI A VANTAGGIO DI QUESTI, i cui proprietari sono culo e camicia con costui. Sono comportamenti tipici da tiranni. Ma un Gavrilo Princip che si è rotto il cazzo non si trova?",0,
5283,No mi dispiace la parola giusta è culattone [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""culattone"", che è un insulto offensivo e denigratorio rivolto alle persone omosessuali."
5284,"@user_abc Pregliasco, con affetto: te ne devi andare a fare in culo, hai rotto 5 quarti di minchia. Mi scusino i fini.",0,
5285,"Camionista, culattone, biadesivo...cazz signific biadesivo [URL]",0,
5286,bastaa perche ci provano le tipe con meee sono ricchione levateviiiii,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"" in modo dispregiativo e offensivo per riferirsi a persone LGBTQIA+, esprimendo un rifiuto e un disprezzo verso di esse."
5287,#Pillon Parla solo ed esclusivamente di Gay e cose Gaye e roba Gay . In bocca ha solo Gay Gay Gay ... è un ossessione . Di solito a quelli che piace la Patacca non parlano ti Gay tutto il giorno,1,"Il tweet utilizza ripetutamente il termine ""Gay"" in modo denigratorio e sarcastico, suggerendo un'ossessione negativa e associando il termine a qualcosa di spregevole (""Patacca""). Il tono è offensivo e derisorio verso le persone LGBTQIA+, configurando odio omotransfobico."
5288,@user_abcdefghi @user_abcd Si spero che il nonno visto il culattone di Giorgino....tiri fuori dal cilindro qualcosa...e ora raschiare barile e tanta fotta,1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""culattone"" in riferimento a una persona (presumibilmente omosessuale) in modo dispregiativo e denigratorio."
5289,"@user_abcd Una lesbica e un ricchione, impossibile",1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e dispregiativi (""lesbica"" in un contesto negativo e ""ricchione"", un insulto omofobico) per denigrare persone LGBTQIA+."
5290,RT @user_abcdefgh @user_abcde @user_abcdef Quanto invidio il suo harem di travioni thailandesi,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""travioni"" in modo dispregiativo e stereotipato riferito a persone transgender, associandolo a un contesto di derisione e oggettificazione."
5291,@user_abc Il solito maschio bianco etero con la cultura dello stupro. Non poteva chiederlo ad un femminiello? E che cavolo.,0,
5292,"@user_abcdef In poche parole sta dicendo che torna , li piglia per il culo ancora un anno e poi se ne va 😂😂😂😂, l’ho sempre detto che senza il 🎪 inda non si vive 😂😂😂",0,
5293,@user_abcdefg @user_abcdefgh @user_abcde Io preferisco fidarmi da chi non nasconde il suo volto ma come sempre la gente che pensa di fare il “culattone” col le terga dell’altro abbonda ¯\_(ツ)_/¯,1,"Il tweet utilizza il termine ""culattone"" in modo dispregiativo e stereotipato riferendosi a persone omosessuali, con un tono denigratorio e offensivo, quindi contiene odio omotransfobico."
5294,@user_abc @user_abcdefghi Come si dice? Fare il culattone col culo degli altri?,1,"Il tweet utilizza un termine offensivo e dispregiativo (""culattone"") rivolto a persone omosessuali, in un contesto che denigra e deride. Questo costituisce odio omotransfobico."
5295,"È il momento giusto. Rimasti in disparte a seguito della tragica,per loro,conquista della Conference celebrata con frasi di rito e finto gaudio, visto che i romanari hanno ricominciato con calciomercato e stronzate varie, il cerchio dal culo rotto ha ricominciato a sparlà di Roma",0,
5296,checca culattone camionista biadesivo tutto questo mondo qua [URL],1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e dispregiativi (""checca"", ""culattone"") rivolti a persone LGBTQIA+, con un tono denigratorio e insultante."
5297,@user_abcdefgh mamma mia culattone mi descrive così bene 🥰🥰,0,
5298,"@user_abcde ""culattone effeminato NO la parola giusta è FROCIOOO""",1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e dispregiativi come ""culattone effeminato"" e ""FROCIOOO"" rivolti presumibilmente a persone LGBTQIA+, con un tono chiaramente denigratorio."
5299,@user_abc culattone non me lo avevano mai detto,1,"Il termine ""culattone"" è un insulto offensivo e denigratorio rivolto a persone omosessuali, quindi il tweet contiene odio omotransfobico."
5300,Er ciclo vitale der culattone de dove? #reazioneacatena,1,"Il tweet utilizza il termine offensivo ""culattone"", un epiteto omotransfobico rivolto a persone omosessuali, in un contesto denigratorio e derisorio. L'uso di questo termine indica un contenuto di odio omotransfobico."
5301,"@user_abc Perché se scopa il silvio o briatore , ə come se scopassi anch’io, lo pensa il ciglione culattone",1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""culattone"" in modo denigratorio e dispregiativo verso una persona presumibilmente omosessuale, esprimendo un giudizio negativo e offensivo basato sull'orientamento sessuale."
5302,@user_abcdef Qui invece Te ne intendi di rotto in culo #cupio 🤣 ammazzati sfigato va,0,
5303,"GIOELE MAGALDI, TE L'ABBIAMO FICCATO E TI ABBIAM FATTO FELICE, FOSSE PER TE, PRENDERESTI PURE I PALI DELLA LUCE, NELL'ANO: TI PIACE, MM, SE TI PIACE! FEMMINIELLO GIOELE MAGALDI, A ROMA #GUALTIERI SINDACO! L'ASSESSORATO ALLA CUL-TURA NON L'HAI, MA HAI 1 CUL-ACCESSORIATO CON FALLI! [URL]",0,
5304,"@user_abcdefgh Dato che i bigotti sono il rovescio della medaglia delle troie e dei rottinculo, sono nati prima gli uni o gli altri? Poi, spesso e volentieri, le categorie si confondono tra loro: ecco tu, secondo me, sei uno di questi.",0,
5305,"@user_abcdef ormai è come se fossero cultura, quindi spero che si caghino addosso se faranno la scelta sbagliata",0,
5306,Prima li chiamavano femminielli mo bell e buon femboys,0,
5307,Non rompere le balle culattone che non sei altro [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""culattone"" in modo offensivo e dispregiativo, rivolto a una persona presumibilmente omosessuale, con un tono denigratorio e aggressivo."
5308,Il computer che mi fa crashare il render per 3 volte di fila ha chiaramente detto “culattone di merda tu oggi devi smadonnare” [URL],0,
5309,checca è consapevole di essere ad un passo dal farmi infuriare [URL],0,
5310,"@user_ Se gli piaceva tanto la famiglia, perché non si è sposato? Com'è bello fare il femminiello col cu.o degli altri.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo e offensivo, associandolo a un comportamento derisorio e denigratorio verso una persona presumibilmente LGBTQIA+. L'espressione ha un tono denigratorio e stereotipato."
5311,Il vescovo di Verona contro il candidato della Sinistra Tommasi non votarlo perché a favore dei gay e trasgender. Campagna elettorale per la Destra.,1,"Il tweet contiene odio omotransfobico perché invita a non votare un candidato a causa del suo sostegno a persone gay e transgender, esprimendo un giudizio negativo e discriminatorio verso queste identità."
5312,"Strano che siano solo femminielli con gozzo, e non solo, ben abbozzato a volersi confrontare con DONNE, vere Donne, in sport in cui la fisicità fa la differenza. [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in modo dispregiativo e mette in dubbio la legittimità della partecipazione di persone presumibilmente transgender o non conformi al genere assegnato a sport femminili, sminuendo la loro identità e creando una divisione tra ""vere Donne"" e altri, con un tono denigratorio e discriminatorio."
5313,"È ciò che si evince da un’indagine portata avanti dall’organizzazione #DentsuItalia, che segnala anche come gli autori di questi insulti sono per il 60% uomini e che le espressioni di odio maggiormente utilizzate sono: frocio 63%, ricchione 17%, checca 14% e culattone 3%.",0,
5314,"@user_abcd legittimo e in fin dei conti anche personale, ma l’idea che un culattone nel suo essere minoranza si senta superiore e/o disturbato da una persona queer o con un aspetto non conforme al concetto patriarcale (e ovviamente c@pitalista) di genere mi fa troppo incazzare.",1,"Il tweet utilizza il termine offensivo ""culattone"" per riferirsi a una persona omosessuale, esprimendo un giudizio negativo e un sentimento di rabbia verso una minoranza sessuale. L'uso di questo termine e il tono denigratorio indicano la presenza di odio omotransfobico."
5315,"PERCIO' SOLO UNA VIA E' PRATICABILE E NON DIFFICILE, MAH..GLI ITALIANI DOPO GLI INSEGNAMENTI AMERICANI, ISRAELIANI E DELLA UE, SON DIVENTATI TUTTI ""FEMMINIELLI"" E LE ITALIANE GROSSA PARTE TUTTI MASCHIETTI, MA SENZA PALLE. DICEVO PERCIO' SOLO UNA VIA RIVOLUZIONE! [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza termini dispregiativi come ""femminelli"" e ""senza palle"" per denigrare gli italiani, associando negativamente caratteristiche stereotipate di genere e sessualità. Inoltre, il tono è denigratorio e incita a una ""rivoluzione"", suggerendo un atteggiamento ostile verso chi non corrisponde a un modello tradizionale di mascolinità."
5316,"@user_abcde Ricchione,cartonato,e testa di cazzo…bloccato",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"", che è un insulto offensivo e denigratorio rivolto a persone LGBTQIA+, insieme ad altri insulti volgari."
5317,"@user_abcdef E si tu invece sei un femminiello vero? O una bella donna alla guida del PD fatela finita! Ipocriti, infami bugiardi impiastri",0,
5318,immagina andare a un concerto di ariete e dire ai tuoi che sei ricchione doppia L x i tuoi [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"" in modo dispregiativo e offensivo, rivolto presumibilmente a qualcuno che si identifica o è percepito come omosessuale. L'espressione è usata per deridere e denigrare, configurando un contenuto di odio omotransfobico."
5319,"@user_abcdefgh @user_abcdef ci hai provato, ma sappiamo tutti di chi parlavo, culattone che non sei altro",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""culattone"" come insulto diretto, esprimendo disprezzo verso una persona presumibilmente omosessuale."
5320,ricchione nel suo caso vuol dire che ha anche delle orecchie enormi [URL],1,"Il tweet utilizza il termine ""ricchione"", che è un insulto omotransfobico, anche se in questo caso è usato in modo ironico o per descrivere una caratteristica fisica, il termine rimane offensivo e denigratorio verso le persone LGBTQIA+. Pertanto, il contenuto è da considerarsi odio omotransfobico."
5321,RT @user_abcde Andate a fare in culo. Dovete fallire. Vi odio. Ci avete rotto il cazzo. Ridateci Bernie.,0,
5322,"@user_abcdefghi @user_abcdefghi Ma vaffanculo ricchione di sta fava AHAH You're definitely trolling, infatti sei un rottinculo",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"" in modo offensivo e denigratorio, rivolto a una persona presumibilmente LGBTQIA+, con l'intento di insultare e deridere."
5323,"@user_abcd @user_abcd @user_abcdefgh No, ho capito benissimo italiano di merda. Parlavi della “ricchissima” Europa. Qui in Francia abbiamo mandato Macron all’opposizione, visto che con le vostre guerre perse e l’inflazione non si arriva a fine mesi. Europeisti cazzoni, succhiacazzi di Draghi, lo strozzino Made in UE",0,
5324,"Ecco #DiMaio Sarà coerente con quanto detto o sarà un altro chiacchierone col culo incollato alla poltrona ? Sarà uomo, mezz’uomo,ominicchio, piglianculo o quaquaraquà? [URL]",0,
5325,"@user_abc @user_abcdefgh @user_abcdefg Se castrato probabilmente è il femminiello dei randagi del quartiere, per quello sospetto anocontusione e conseguente vaiolo delle scimmie anche se vista le ridotte difese immunitarie potrebbero essere effettivamente entrambi #LockdownSubito",0,
5326,Finalmente un modello che non ha la faccia da culattone. [URL],1,"Il tweet contiene odio omotransfobico perché utilizza l'espressione ""faccia da culattone"", un termine offensivo e dispregiativo rivolto a persone LGBTQIA+, con intento denigratorio."
5327,@user_ab ma che si caghino addosso no era cattiva sh,0,
5328,"@user_abcdefg Non ti ho dato del culattone, ma del ""culattacchione"" in senso amichevole👍 Ho molti amici ghei tra cui @user_abcdefg Chi mi conosce sa benissimo che non sono omofobo👍",0,
5329,"Sceneggiatura cinematografica noir : Ciro Adinolfi 27enne "" Femminiello "" in arte : "" Mia "" si prostituisce tra i vicoli della Sanita' a Napoli lo fa per vivere,ha sua madre su una sedia a rotelle disabile,tra i suoi clienti c'è anche un boss di Scampia soprannominato Don Gennaro [URL]",0,
5330,@user_abcdefg Sei sei ricchione Lukaku. Ma che cazzo di domanda fai?,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"", un insulto offensivo e denigratorio rivolto a una persona presumibilmente omosessuale, con un tono chiaramente offensivo."
5331,@user_abcdef SERVI SCHIAVI VENDUTI CORROTTI BOCCHINARI ROTTINCULO!!!!!!,0,
5332,"@user_abcdef Questo della checca isterica mi ha sempre fatto scompisciar dal ridere. Ha un suono quasi amorevole, giocoso, sa di vecchia aia di campagna, con galline che coccodettano, tacchini che glugluttano, conigli che pruprutano, di odor di fieno appena colto, di cacche di mucca ... Ops.",1,"Il tweet utilizza il termine ""checca isterica"" in modo denigratorio e stereotipato, associando un linguaggio offensivo e derisorio verso una persona presumibilmente LGBTQIA+. Il tono è chiaramente offensivo e contribuisce a diffondere pregiudizi omotransfobici."
5333,non in palestra i palestrati che parlano di cosa è ricchione e cosa no con me di fianco,0,
5334,"@user_abcde è sicuramente molto "" frocia "" chi gli ha affibiato quel moniker.",1,"Il tweet utilizza il termine ""frocia"" in modo dispregiativo riferito a una persona, con un tono denigratorio che esprime pregiudizio e derisione verso una persona presumibilmente LGBTQIA+. Questo costituisce odio omotransfobico."
5335,@user_abcdefghij @user_abcdefghij Gaetano Paola Taverna ha le ⚽⚽ Mica è nu femminiello come #DiMaioTraditoreDelPopolo,1,"Il tweet utilizza il termine ""femminiello"" in modo dispregiativo e stereotipato per denigrare una persona, associandolo a un insulto politico. ""Femminiello"" è un termine che può riferirsi a persone transgender o effeminate in modo stereotipato e offensivo, quindi il tweet contiene odio omotransfobico."
5336,@user_abcdef Bello fare il buliccio con il culo degli altri.,0,
5337,quindi per strada posso essere chiamato frocio ricchione culattone ma non posso dire che una persona inventata come dio è un maiale? [URL],0,
5338,@user_abcdefgh Da me a Parma sui muri è pieno di scritte: “Lotta FROCIA”. L’Emilia Romagna è il male,1,"Il tweet riporta la presenza di scritte offensive e omotransfobiche (""Lotta FROCIA"") sui muri, e definisce l'Emilia Romagna come ""il male"" in questo contesto, esprimendo un giudizio negativo associato a un linguaggio omotransfobico."
5339,ma non mi rompere le balle culattone che non sei altro.mp4 [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""culattone"" in modo denigratorio e dispregiativo verso una persona presumibilmente omosessuale, accompagnato da un tono aggressivo e offensivo."
5340,Diego Hargreeves sei un disgraziato maledetto ti odio dal profondo del cuore veramente non ci posso credere ma che scene sono Dio santo screanzato rottinculo,0,
5341,"SEMPLICEMENTE PERCHÈ È UN GAY, O MEGLIO UN FROCIO, O MEGLIO UN CULATTONE... [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e dispregiativi (""frocio"", ""culattone"") per riferirsi a una persona gay, esprimendo disprezzo e pregiudizio verso le persone LGBTQIA+."
5342,@user_abcdefghij Mi presento son l'orsetto ricchione 🎶🎶🎶,0,
5343,@user_abcdefgh Nn può nascere col quel nome: praticheranno quando eletti fanculo Italia! Sono infami piglianculo!Pensa a tanti grillini!Il colmo lo realizza Giggino assurto grazie al m5s a vicepresidente CM ministro degli Esteri e poi🖕+ ombrello a tutti e se ne va dove si mangia+e si ruba di +,0,
5344,"Che culo, in ufficio con il condizionatore rotto. Meglio di così che si può desiderare?",0,
5345,RT @user_abcdefghij @user_abcdefg @user_abcdefghi Non lo voglio a questo femminiello,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo e rifiutante (""Non lo voglio a questo femminiello""), esprimendo disprezzo verso una persona presumibilmente LGBTQIA+."
5346,Caro Pregliasco ...se vuoi guadagnare devi andare a lavorare ..l a v o r a re ...hai rotto i coglioni con i vaccini d’ora in avanti le siringhette te le devi devi mettere in culo. [URL],0,
5347,@user_abcdefg @user_abcdefg Io voglio la scissione di Napoli da parte dei femminielli.,1,"Il tweet utilizza il termine ""femminielli"" in un contesto che sembra denigratorio o discriminatorio, chiedendo una ""scissione"" di Napoli da parte di questa categoria, il che implica un'esclusione o separazione basata sull'identità di genere o orientamento sessuale. Questo esprime un pregiudizio e una discriminazione verso persone LGBTQIA+, configurando odio omotransfobico."
5348,@user_abcdefg vorresti dirmi che sei metà ricchione e metà no?,1,"Il tweet utilizza il termine ""ricchione"" in modo offensivo e denigratorio, rivolto direttamente a una persona, esprimendo un pregiudizio omotransfobico."
5349,"I matrimoni gay sono diventati l'argine si femminicidi, la droga libera sconfigge la mafia, i clandestini ci pagheranno le pensioni, da bambini puoi decidere se essere maschio o femmina, questo è il paese che volete ??? [URL]",1,"Il tweet esprime un tono denigratorio e sarcastico verso temi legati ai diritti LGBTQIA+, come il matrimonio gay e la libertà di autodeterminazione di genere, presentandoli come elementi negativi o assurdi. Questo implica un pregiudizio e una derisione verso le persone LGBTQIA+, configurando odio omotransfobico."
5350,"L'UAAR partecipa ai Pride in mezza Italia, ma poi dà spazio e attenzione a R**** G******, che dedica interi segmenti dei suoi spettacoli ad attacchi transfobici🤡 Quanto ci vorrà a capire che ""noi siamo meglio di chi non è come noi"" non è proprio un gran base per un'associazione? [URL]",0,
5351,"@user_abcdefghi Il problema a Verona è il gender. Considerazioni level Sboarina: a sx un uomo seduto in maniera virile, a dx un ossessionato dal gender (vuoi represso, vuoi senza argomenti utili) seduto come un femminiello.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo per denigrare una persona, associandolo a un atteggiamento negativo e stereotipato legato al ""gender"". L'uso del termine in questo contesto veicola un pregiudizio e una derisione verso espressioni di genere non conformi."
5352,"@user_abcdef @user_abcde Il problema a Verona è il gender. Considerazioni level Sboarina: a sx un uomo seduto in maniera virile, a dx un ossessionato dal gender (vuoi represso, vuoi senza argomenti utili) seduto come un femminiello. [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo per denigrare una persona, associandolo a un atteggiamento ""ossessionato dal gender"" e contrapponendolo a un uomo ""virile"". Questo implica un giudizio negativo e stereotipato verso espressioni di genere non conformi, veicolando pregiudizio e derisione verso persone LGBTQIA+."
5353,@user_abcd siamo in 2 non ci sta nulla di male nel dire io li seguo da poco nessuno le piglia pe culo anzi,0,
5354,ma a Bologna non esistono più gay e lesbiche sono tutti etero con pronomi #BolognaPride,0,
5355,Non parlerò a mezzo gay twitter per via del concerto della bastarda [URL],0,
5356,@user_abcdefghij Forse ha avuto qualche incidente in famiglia per sviluppare tale odio stolido e feroce. O è ricchione.,1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""ricchione"" in modo dispregiativo e denigratorio, associandolo a un giudizio negativo (""odio stolido e feroce""), esprimendo quindi disprezzo verso persone LGBTQIA+."
5357,Fanculo Dolce & Gabbana non metto la roba frocia,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""frocia"" in modo dispregiativo per denigrare un marchio, implicando un giudizio negativo verso ciò che viene associato all'identità LGBTQIA+."
5358,PORCO DIO ROTTO IN CULO DAL PADRE DEL DIO CANE LA MADONNA PUTTANA LEI E LA SANTA VERGINE MARIA DIO PORCO [URL],0,
5359,"@user_abcde Napoli per esempio ha da sempre avuto la cultura dei femminielli tanto che essi hanno anche la propria madonna da venerare la madonna di montevergine o meglio mamma schiavona perché Bruna ,con tanto di processione detta juta re femminiell.",0,
5360,@user_abcdef Certo è un noto culattone @user_abcdefghij la carriera l‘ha fatta con Arpa testa bassa e culo alzato,1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""culattone"" in modo denigratorio e associato a un insulto personale, esprimendo disprezzo verso una persona presumibilmente omosessuale."
5361,@user_a LA GRANDE BURLA I prof spero si caghino il cazzo col caldo e col fatto che siamo letteralmente le ultime badya,0,
5362,"@user_abcdefghi Ti arrivano subito le denuncie delle cd femministe del merdapd, associazione puritani religiosi, associazione contro la mercificazione e sfruttamento del corpo femminile e l'associazione non toccate il femminiello...🤣🤣🤣",0,
5363,AVETE ROTTO IL CAZZO DI AVERE SEMPRE IL SUO NOME IN BOCCA ANCHE QUANDO NON FA NULLA. LASCIATELO STARE. ANDATE AL MARE O IN PISCINA. A LUI DELLE VOSTRE CRITICHE CI SI PULISCE IL CULO,0,
5364,"Poi amo, se hai qualcosa da dirmi, ripeto, esci le palle e scrivimi. Non fare la checca isterica nel tuo profilo. &lt;3",1,"Il tweet contiene odio omotransfobico perché utilizza l'espressione ""checca isterica"" in modo denigratorio e offensivo verso una persona presumibilmente omosessuale o percepita come tale, veicolando un pregiudizio e un atteggiamento di disprezzo."
5365,"@user_abcde È un ricchione! Quindi un.... ehm, non è una donna! Che schifo e che volgarità sti ibridi.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""ricchione"" per denigrare una persona, nega la sua identità di genere (""non è una donna"") e definisce la sua esistenza come ""schifo"" e ""volgarità"", esprimendo disprezzo verso persone transgender o non conformi al genere."
5366,will ovviamente perchè sono frocia [URL] [URL],0,
5367,RT @user_abcdefghijk Diciamo che lui ha le palle e tu sei una checca. #sburioni #sborone [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""checca"" in modo offensivo e denigratorio, rivolto a una persona presumibilmente omosessuale, con un tono dispregiativo."
5368,@user_abcdefghi @user_abcdefgh @us Il governo che ci piglia per il culo? Che manda armi contro costituzione? Che manda sanzioni alla Russia che oltretutto ci rimbalzano sopra? Siamo nel 2022 la pace non si costruisce in questa maniera! Se siamo a questo punto è colpa anche dell'occidente e gli unici a morire sono,0,
5369,"Che rotto in culo che sei Piero… quanto ti vogliamo bene tu non lo puoi nemmeno immaginare. Soprattutto dopo Jonathan, Dalbert, Lazaro, ecc HB caro buon vecchio @user_abcdefghij 🥰🥳 (sappiamo che in realtà sei quello vero) [URL]",0,
5370,ma quanto devi essere stupido per provare derubare un travione ahahahha [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""travione"" in modo dispregiativo e offensivo per riferirsi a una persona transgender, deridendola e denigrandola."
5371,io aspettando che louis o harry si caghino la mia regione [URL],0,
5372,"@user_abcdefghi per me era un""femminiello"" anche se fuori zona..",0,
5373,@user_ab @user_abcd Ottimo. Ora manca il femminiello e siamo lanciati nel progresso.,1,"Il tweet utilizza il termine ""femminiello"" in modo ironico e denigratorio, suggerendo che la presenza di una persona LGBTQIA+ (il femminiello è una figura tradizionale napoletana associata a identità di genere non conformi) rappresenti un ""progresso"" sarcastico e negativo. Questo implica un giudizio sprezzante e stereotipato verso le persone LGBTQIA+, configurando odio omotransfobico."
5374,"@user_abcdef Ma fanno così da anni Checca, probabilmente ci sarà stato qualcosa che noi non sappiamo, il fatto che Gazidis a novembre lasci dovrebbe essere più che un indizio.",0,
5375,@user_abcd @user_abcdef Perfetto! Potrei raccontare dei miei 5 anni da stagionale in estate in una fabbrica di conserve alimentari. Non mi va di dirlo altrimenti sembra una gara a chi si è rotto il culo di più. Dico solo che ho fatto desistere tutti i miei coetanei che volevano sacrificarsi l'estate lì,0,
5376,RT @user_abcdefghi Dire NEGRO DI MERDA o RICCHIONE DEL CAZZO non è né turpiloquio né ingiuria IO POSSO FARLO,0,
5377,"Adi, anche Dio fa campagna gender, non se ne può più. Sarà ricchione pure lui? Se è un lui [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"" in modo dispregiativo e offensivo, associandolo a una critica negativa (""non se ne può più"") e a un tono denigratorio verso le persone LGBTQIA+."
5378,"@user_abcd Delle donne non se ne frega nulla nessuno 😪 devono prima accadere disgrazie affinché ci caghino, altrimenti si gioca alla roulette russa: tanto può andar bene, quanto male. Non ho parole.",0,
5379,"@user_abcdefghij IL FEMMINIELLO NAPOLETANO INFAME TRADITORE,QUESTA MINKIA MOSCIA HA TRADITO MILIONI DI ITALIANI PER LA POLTRONA.",0,
5380,"@user_abcdefgh Io sono un trivaccinatoa,ora hanno veramente rotto i coglioni sti grandissimi coglioni,la quarta se la ficcano in culo",0,
5381,"@user_abcdefghij @user_abcdefghi La sora Checca, stasera, fa la pasta e fagioli",1,"Il tweet utilizza il termine ""Checca"" in modo dispregiativo e stereotipato, associandolo a un soprannome ironico e offensivo. Questo rappresenta un contenuto omotransfobico in quanto deride e denigra una persona presumibilmente LGBTQIA+."
5382,@user_ab Io lo dico da tempo che Tuchel è un culattone incapace,1,"Il tweet utilizza il termine ""culattone"", un epiteto offensivo e dispregiativo rivolto a una persona presumibilmente omosessuale, con intento denigratorio. Questo costituisce odio omotransfobico."
5383,"Fanno crepare i vecchietti con tachipirina e vigile attesa. Scoprono che hanno ammazzato i loro elettori. Cercano di rimediare dando cittadinanza agli stranieri. Gli stranieri fanno un loro partito. Hanno la maggioranza. Tolgono diritto di voto a donne, gay ecc... Fine.",0,
5384,"@user_abcdef @user_abcdef 4) se un ragazzo desse un pugno in faccia ad una ragazza perché ha insultato uno con un ""checca di merda"" avrebbe non solo il mio appoggio ma anche la mia ammirazione.",1,"Il tweet esprime sostegno e ammirazione per un'aggressione fisica motivata dall'uso di un insulto omotransfobico (""checca di merda""). Questo incita alla violenza contro persone LGBTQIA+ e quindi contiene odio omotransfobico."
5385,Aspettando quel FEMMINIELLO SCURNACCHIATO SFACCIMM,0,
5386,"Ma sì, ma sì, ci sono quei momenti in cui vorresti gente che te caga er cazzo sotto i tweet. Perchè ti va di discutere, sfogarti, ti va di piglià per il culo e farti piglià per il culo, ecc... Perchè preferiresti essere incazzato nero piuttosto che altro",0,
5387,"Parlami di israele se vuoi che ti ascolti seriamente, che le storielle son per femminielli. Parlamene sempre senza odio, senza razzismo o peggio antiebraismo e lo strillo, ma parlamene liberamente e sempre al bisogno, perche' son come tutto il resto dell'umanita'.Superiori a chi? [URL]",0,
5388,"Comunque la battuta sulla ""checca gay"" non ha mai fatto ridere anzi, ma poi se devi farci uno sketch su non su una categoria ma su una persona in particolare, piuttosto che sfotterne gli atteggiamenti come l'animale che sei sfottine il carattere, lì mi puoi trovare d'accordo",0,
5389,@user_abcdefg OH NO SEI PURE UNA BOYKISSER BIHET SUCCHIACAZZI CHE VERGOGNA,1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e dispregiativi (""boykisser"", ""succhiacazzi"") rivolti presumibilmente a una persona bisessuale o omosessuale, con un tono denigratorio e di derisione."
5390,"@user_abcdefghij Io ho scritto un tweet mentre lo guardavo in diretta e fine, che ne sapevo che un quotidiano nazionale l'avrebbe pubblicato! Comunque l'offesa sta nell'usare ""ricchione"" come insulto, perché poi è quello che passa come una cosa giusta e normale.",0,
5391,"@user_abcd Penso sia una cosa tipica degli uomini, se ti fai foto di continuo probabilmente sei un po' ricchione",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"" in modo dispregiativo per insultare una persona, associando un comportamento (farsi foto di continuo) a un'etichetta omofobica. L'uso del termine in questo contesto è offensivo e denigratorio verso le persone LGBTQIA+."
5392,"#RadioDeejay, facendo riferimento a un famoso video di una coppia che litiga specificano che il ragazzo è schiaffeggiato da un “femminiello”. Ragazzi nel 2022 dover specificare che stiamo parlando di persone, che poi siano etero, gay, trans o si vestano da mucche, è svilente.",0,
5393,"@user_abcdef E soprattutto rottinculo,scusa il francesismo 😂",0,
5394,"Ne hanno fatto merce di scambio, in onore al culattone drogato incontentabile che ci sta portando all'apocalisse, con dragonball impazzito che manda uomini ! [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine offensivo ""culattone"" in modo denigratorio e associato a un giudizio negativo (""drogato incontentabile"", ""ci sta portando all'apocalisse""), esprimendo disprezzo verso una persona presumibilmente LGBTQIA+."
